name,description,type
137 Murray Street Guesthouse,Tourist attraction in Tshwane - 137 Murray Street Guesthouse,accommodation
23 on Hazelwood,Tourist attraction in Tshwane - 23 on Hazelwood,accommodation
23 on Rubenstein,Tourist attraction in Tshwane - 23 on Rubenstein,accommodation
3 at Marion Guesthouse,Tourist attraction in Tshwane - 3 at Marion Guesthouse,accommodation
37 on Charles,Tourist attraction in Tshwane - 37 on Charles,accommodation
Centurion,Tourist attraction in Tshwane - Centurion,area
Garsfontein,Tourist attraction in Tshwane - Garsfontein,area
Pretoria North,Tourist attraction in Tshwane - Pretoria North,area
Adventure Zone Cullinan,Tourist attraction in Tshwane - Adventure Zone Cullinan,attraction
African Nights Guest House,Tourist attraction in Tshwane - African Nights Guest House,accommodation
Afro Boer,Tourist attraction in Tshwane - Afro Boer,restaurant
AIDC Automotive Industry Development Supplier Park Conference Centre,Tourist attraction in Tshwane - AIDC Automotive Industry Development Supplier Park Conference Centre,venue
Anew Hotel Hatfield,Tourist attraction in Tshwane - Anew Hotel Hatfield,accommodation
Fortis Hotel Capital,Tourist attraction in Tshwane - Fortis Hotel Capital,accommodation
Anew Hotel Centurion,Tourist attraction in Tshwane - Anew Hotel Centurion,accommodation
Aroma Gelato and Waffle Lounge,Tourist attraction in Tshwane - Aroma Gelato and Waffle Lounge,restaurant
at the Rocks Country Estate,Tourist attraction in Tshwane - at the Rocks Country Estate,accommodation
B Guest House,Tourist attraction in Tshwane - B Guest House,accommodation
Baobab Cafe Grill,Tourist attraction in Tshwane - Baobab Cafe Grill,restaurant
Batter Boys Boutique Hotel,Tourist attraction in Tshwane - Batter Boys Boutique Hotel,accommodation
Bill Harrops Balloon Safaris,Tourist attraction in Tshwane - Bill Harrops Balloon Safaris,attraction
Brosad Travel Services,Tourist attraction in Tshwane - Brosad Travel Services,service
Capital Craft Beer Academy,Tourist attraction in Tshwane - Capital Craft Beer Academy,attraction
Capito,Tourist attraction in Tshwane - Capito,restaurant
Caraffa,Tourist attraction in Tshwane - Caraffa,restaurant
Carbon Bistro,Tourist attraction in Tshwane - Carbon Bistro,restaurant
Casa Toscana Lodge,Tourist attraction in Tshwane - Casa Toscana Lodge,accommodation
Castello di Monte,Tourist attraction in Tshwane - Castello di Monte,restaurant
Castle Bush Camp,Tourist attraction in Tshwane - Castle Bush Camp,accommodation
Central Restaurant,Tourist attraction in Tshwane - Central Restaurant,restaurant
Centurion Mall,Tourist attraction in Tshwane - Centurion Mall,shopping
City Lodge Hotel Hatfield,Tourist attraction in Tshwane - City Lodge Hotel Hatfield,accommodation
City Lodge Lynwood,Tourist attraction in Tshwane - City Lodge Lynwood,accommodation
Colcacchio,Tourist attraction in Tshwane - Colcacchio,restaurant
Conference Consultancy SA,Tourist attraction in Tshwane - Conference Consultancy SA,service
Constantia Guest Lodge,Tourist attraction in Tshwane - Constantia Guest Lodge,accommodation
Cornerstone Guest Lodge,Tourist attraction in Tshwane - Cornerstone Guest Lodge,accommodation
Court Classique Suite Hotel,Tourist attraction in Tshwane - Court Classique Suite Hotel,accommodation
Crawdaddys Good Food Menlyn,Tourist attraction in Tshwane - Crawdaddys Good Food Menlyn,restaurant
Cussonia Country Home,Tourist attraction in Tshwane - Cussonia Country Home,accommodation
De Kloof Restaurant,Tourist attraction in Tshwane - De Kloof Restaurant,restaurant
Pepper Chair,Tourist attraction in Tshwane - Pepper Chair,restaurant
Dewetswild,Tourist attraction in Tshwane - Dewetswild,attraction
Ditsong Kruger Museum,Tourist attraction in Tshwane - Ditsong Kruger Museum,museum
E Biking Africa Pty Ltd,Tourist attraction in Tshwane - E Biking Africa Pty Ltd,service
Cullinan Tours,Tourist attraction in Tshwane - Cullinan Tours,service
Ebuhleni Tours Pty Ltd,Tourist attraction in Tshwane - Ebuhleni Tours Pty Ltd,service
El Mikho Travel Tours,Tourist attraction in Tshwane - El Mikho Travel Tours,service
Eternal Partners Business Solution Pty Ltd,Tourist attraction in Tshwane - Eternal Partners Business Solution Pty Ltd,service
Famba Famba Tour Design Specialists,Tourist attraction in Tshwane - Famba Famba Tour Design Specialists,service
Fishmonger Centurion,Tourist attraction in Tshwane - Fishmonger Centurion,restaurant
Fleisherei Bistro,Tourist attraction in Tshwane - Fleisherei Bistro,restaurant
Taris Concepts,Tourist attraction in Tshwane - Taris Concepts,restaurant
Freedom Park SA,Tourist attraction in Tshwane - Freedom Park SA,attraction
Fumo,Tourist attraction in Tshwane - Fumo,restaurant
Gabbata Lodge Restaurant,Tourist attraction in Tshwane - Gabbata Lodge Restaurant,restaurant
Garden Court Hatfield Hotel Pretoria,Tourist attraction in Tshwane - Garden Court Hatfield Hotel Pretoria,accommodation
Glen Marion Guest House,Tourist attraction in Tshwane - Glen Marion Guest House,accommodation
Graceland Conference Lifestyle Centre,Tourist attraction in Tshwane - Graceland Conference Lifestyle Centre,venue
Green Valley Lodge,Tourist attraction in Tshwane - Green Valley Lodge,accommodation
Ndila Transfers,Tourist attraction in Tshwane - Ndila Transfers,service
Next to Apartment Hotel,Tourist attraction in Tshwane - Next to Apartment Hotel,accommodation
Ogalito Restaurant Centurion,Tourist attraction in Tshwane - Ogalito Restaurant Centurion,restaurant
Pachas Restaurant,Tourist attraction in Tshwane - Pachas Restaurant,restaurant
Passi Deli,Tourist attraction in Tshwane - Passi Deli,restaurant
Phahama Lodge,Tourist attraction in Tshwane - Phahama Lodge,accommodation
Piccola Italia,Tourist attraction in Tshwane - Piccola Italia,restaurant
Plaka Menlyn,Tourist attraction in Tshwane - Plaka Menlyn,restaurant
Portugalo Restaurant,Tourist attraction in Tshwane - Portugalo Restaurant,restaurant
