platform,url,text
Facebook\,https://www.facebook.com/TshwaneTourismAssociation,Facebook
Twitter\,https://twitter.com/Tshwane_Tourism,X
Youtube\,https://www.youtube.com/channel/UCXeVsem77xzvepVaYJKZtlw,Youtube
Facebook\,https://web.facebook.com/TshwaneTourismAssociation,
Facebook\,https://www.facebook.com/TshwaneTourismAssoc,Facebook
Twitter\,https://twitter.com/Tshwane_Tourism,
Twitter\,https://twitter.com/Tshwane_Tourism,Twitter
Youtube\,https://www.youtube.com/channel/UCXeVsem77xzvepVaYJKZtlw,
Youtube\,https://www.youtube.com/channel/UCXeVsem77xzvepVaYJKZtlw,YouTube
Facebook\,https://www.facebook.com/TshwaneTourismAssociation,Facebook
Twitter\,https://twitter.com/Tshwane_Tourism,X
Youtube\,https://www.youtube.com/channel/UCXeVsem77xzvepVaYJKZtlw,Youtube
